Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Rk,Player,Tm,Salary (2025-26),Salary (2026-27),Salary (2027-28),Salary (2028-29),Salary (2029-30),Salary (2030-31),Salary (Guaranteed)
Bam Adebayo,MIA,C,78,78,2674,7.3,15.0,0.485,1.1,3.0,0.357,6.2,12.0,0.517,0.521,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19.0,DPOY-10,40,Bam Adebayo,MIA,37096620,48713700,52610796,56507892,,,138421116
Ochai Agbaji,TOR,SG,64,45,1739,5.5,11.1,0.498,2.1,5.2,0.399,3.4,5.8,0.587,0.593,0.7,1.0,0.708,1.3,3.7,5.0,2.0,1.2,0.6,1.1,2.6,13.8,,200,Ochai Agbaji,TOR,6383525,,,,,,6383525
Grayson Allen,PHO,SG,64,7,1544,5.1,11.4,0.448,3.5,8.2,0.426,1.6,3.2,0.504,0.6,2.2,2.7,0.816,0.8,3.7,4.5,3.2,1.3,0.4,1.7,2.2,15.9,,101,Grayson Allen,PHO,16875000,18125000,19375000,,,,35000000
Jarrett Allen,CLE,C,82,82,2296,7.1,10.0,0.706,0.0,0.1,0.0,7.1,10.0,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2.0,17.3,,85,Jarrett Allen,CLE,20000000,28000000,30240000,32480000,,,110720000
Jose Alvarado,NOP,PG,56,23,1366,5.4,13.7,0.392,2.9,8.1,0.359,2.5,5.6,0.439,0.498,1.6,2.0,0.811,0.7,2.9,3.6,6.8,2.0,0.4,2.3,2.4,15.3,,237,Jose Alvarado,NOP,4500000,4500000,,,,,4500000
Kyle Anderson,2TM,PF,61,4,1002,5.1,10.9,0.469,0.9,2.5,0.357,4.2,8.4,0.502,0.51,1.7,2.3,0.738,1.9,5.5,7.4,5.2,1.4,1.2,1.3,2.9,12.8,,165,Kyle Anderson,UTA,9219512,9658536,,,,,9219512
Giannis Antetokounmpo,MIL,PF,67,67,2289,12.5,20.7,0.601,0.2,1.0,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32.0,"MVP-3,DPOY-8,AS,NBA1",6,Giannis Antetokounmpo,MIL,54126450,58456566,62786682,,,,112583016
Cole Anthony,ORL,PG,67,22,1234,6.7,15.8,0.424,2.2,6.4,0.353,4.5,9.5,0.471,0.494,2.7,3.3,0.823,1.3,4.6,6.0,5.6,1.3,0.9,3.0,4.4,18.4,,126,Cole Anthony,MEM,13100000,,,,,,13100000
OG Anunoby,NYK,PF,74,74,2706,6.5,13.7,0.476,2.3,6.1,0.372,4.2,7.5,0.561,0.559,2.4,3.0,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,,28,OG Anunoby,NYK,39568966,42500000,45431034,48362068,,,127500000
Deni Avdija,POR,SF,72,54,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,,111,Deni Avdija,POR,14375000,13125000,11875000,,,,39375000
Deandre Ayton,POR,C,40,40,1206,7.9,14.0,0.566,0.2,1.0,0.188,7.7,13.0,0.594,0.573,1.2,1.8,0.667,3.7,8.4,12.1,1.9,0.9,1.2,2.1,2.6,17.2,,43,Deandre Ayton,POR,35550814,,,,,,35550814
LaMelo Ball,CHO,PG,47,47,1505,9.7,24.0,0.405,4.3,12.6,0.339,5.4,11.4,0.478,0.494,4.6,5.5,0.843,1.1,4.4,5.5,8.3,1.3,0.3,4.0,3.8,28.3,,39,LaMelo Ball,CHO,37958760,40770520,43582280,46394040,,,168705600
Lonzo Ball,CHI,PG,35,14,777,4.1,11.3,0.366,3.1,9.0,0.344,1.0,2.2,0.458,0.504,1.0,1.3,0.815,1.2,4.3,5.5,5.3,2.2,0.8,1.9,2.5,12.4,,157,Lonzo Ball,CLE,10000000,10000000,,,,,10000000
Paolo Banchero,ORL,PF,46,46,1582,9.4,20.7,0.452,2.0,6.2,0.32,7.4,14.5,0.509,0.5,6.4,8.8,0.727,1.2,6.7,7.9,5.0,0.8,0.6,3.1,2.2,27.1,,106,Paolo Banchero,ORL,15334769,,,,,,15334769
