Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,Tm,Salary (2025-26),Salary (2026-27),Salary (2027-28),Salary (2028-29),Salary (2029-30),Salary (2030-31),Salary (Guaranteed)
Bam Adebayo,MIA,C,27,78,78,2674,7.3,15.0,0.485,1.1,3.0,0.357,6.2,12.0,0.517,0.521,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19.0,40,MIA,37096620,48713700,52610796,56507892,,,138421116
Ochai Agbaji,TOR,SG,24,64,45,1739,5.5,11.1,0.498,2.1,5.2,0.399,3.4,5.8,0.587,0.593,0.7,1.0,0.708,1.3,3.7,5.0,2.0,1.2,0.6,1.1,2.6,13.8,200,TOR,6383525,,,,,,6383525
Grayson Allen,PHO,SG,29,64,7,1544,5.1,11.4,0.448,3.5,8.2,0.426,1.6,3.2,0.504,0.6,2.2,2.7,0.816,0.8,3.7,4.5,3.2,1.3,0.4,1.7,2.2,15.9,101,PHO,16875000,18125000,19375000,,,,35000000
Jarrett Allen,CLE,C,26,82,82,2296,7.1,10.0,0.706,0.0,0.1,0.0,7.1,10.0,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2.0,17.3,85,CLE,20000000,28000000,30240000,32480000,,,110720000
Jose Alvarado,NOP,PG,26,56,23,1366,5.4,13.7,0.392,2.9,8.1,0.359,2.5,5.6,0.439,0.498,1.6,2.0,0.811,0.7,2.9,3.6,6.8,2.0,0.4,2.3,2.4,15.3,237,NOP,4500000,4500000,,,,,4500000
Giannis Antetokounmpo,MIL,PF,30,67,67,2289,12.5,20.7,0.601,0.2,1.0,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32.0,6,MIL,54126450,58456566,62786682,,,,112583016
OG Anunoby,NYK,PF,27,74,74,2706,6.5,13.7,0.476,2.3,6.1,0.372,4.2,7.5,0.561,0.559,2.4,3.0,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,28,NYK,39568966,42500000,45431034,48362068,,,127500000
Deni Avdija,POR,SF,24,72,54,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,111,POR,14375000,13125000,11875000,,,,39375000
LaMelo Ball,CHO,PG,23,47,47,1505,9.7,24.0,0.405,4.3,12.6,0.339,5.4,11.4,0.478,0.494,4.6,5.5,0.843,1.1,4.4,5.5,8.3,1.3,0.3,4.0,3.8,28.3,39,CHO,37958760,40770520,43582280,46394040,,,168705600
Paolo Banchero,ORL,PF,22,46,46,1582,9.4,20.7,0.452,2.0,6.2,0.32,7.4,14.5,0.509,0.5,6.4,8.8,0.727,1.2,6.7,7.9,5.0,0.8,0.6,3.1,2.2,27.1,106,ORL,15334769,,,,,,15334769
Scottie Barnes,TOR,PF,23,65,65,2134,8.0,17.9,0.446,1.3,4.7,0.271,6.7,13.2,0.508,0.482,3.8,5.1,0.755,1.8,6.6,8.5,6.4,1.6,1.1,3.1,1.9,21.1,32,TOR,38661750,41754690,44847630,47940570,51033510,,224238150
RJ Barrett,TOR,SF,24,58,58,1869,8.9,18.9,0.468,2.1,5.9,0.35,6.8,13.0,0.522,0.523,3.8,6.0,0.63,1.2,5.9,7.0,6.0,0.9,0.3,3.2,2.6,23.6,63,TOR,27705357,29616071,,,,,57321428
Charles Bassey,SAS,C,24,36,1,376,6.5,11.2,0.581,0.0,0.0,,6.5,11.2,0.581,0.581,2.0,3.2,0.636,5.4,9.2,14.6,1.6,1.3,2.9,2.2,4.8,15.0,303,SAS,2500000,,,,,,
Jamison Battle,TOR,SF,23,59,10,1042,5.1,12.0,0.429,3.6,8.9,0.405,1.5,3.0,0.5,0.581,0.6,0.6,0.889,1.3,4.2,5.5,1.8,0.6,0.3,0.9,3.2,14.5,355,TOR,1955377,2296271,,,,,
Goga Bitadze,ORL,C,25,70,42,1430,5.2,8.5,0.611,0.1,0.7,0.107,5.1,7.8,0.656,0.615,2.1,3.3,0.639,4.2,7.5,11.7,3.4,1.2,2.5,1.8,3.8,12.6,174,ORL,8333333,7608696,,,,,15942029
Anthony Black,ORL,PG,21,78,10,1887,5.0,11.8,0.423,1.2,3.7,0.318,3.8,8.1,0.471,0.473,2.9,3.8,0.761,1.0,3.4,4.4,4.6,1.6,0.9,2.7,3.2,14.0,181,ORL,7970280,10106316,,,,,7970280
Adem Bona,PHI,C,21,58,11,905,5.4,7.6,0.703,0.0,0.0,0.0,5.4,7.6,0.707,0.703,2.7,4.0,0.67,3.7,6.1,9.7,1.1,1.0,2.7,2.4,5.0,13.4,356,PHI,1955377,2296271,2486995,,,,
Devin Booker,PHO,SG,28,75,75,2795,8.4,18.3,0.461,2.4,7.1,0.332,6.1,11.2,0.542,0.525,5.6,6.2,0.894,1.0,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,12,PHO,53142264,57078728,61015192,,,,171236184
Brandon Boston Jr.,NOP,SG,23,42,10,993,6.0,13.8,0.436,1.8,5.1,0.35,4.2,8.7,0.485,0.5,2.4,3.1,0.788,1.0,3.8,4.9,3.3,1.9,0.3,1.9,2.6,16.2,308,NOP,2349578,,,,,,
Tony Bradley,IND,C,27,14,0,113,9.2,14.3,0.644,0.3,1.0,0.333,8.9,13.4,0.667,0.656,0.6,1.9,0.333,5.7,7.6,13.4,1.9,0.6,2.9,1.6,3.5,19.4,279,IND,2940876,,,,,,2940876
Christian Braun,DEN,SG,23,79,77,2675,6.4,11.0,0.58,1.2,3.0,0.397,5.2,8.0,0.648,0.634,2.4,2.9,0.827,1.3,4.2,5.5,2.8,1.1,0.5,1.1,2.3,16.4,229,DEN,4921797,,,,,,4921797
Mikal Bridges,NYK,SF,28,82,82,3036,7.0,14.0,0.5,1.9,5.5,0.354,5.1,8.5,0.594,0.57,1.1,1.4,0.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,73,NYK,24900000,,,,,,24900000
Miles Bridges,CHO,PF,26,64,64,2029,8.3,19.3,0.431,2.5,8.0,0.313,5.8,11.3,0.513,0.495,3.9,4.5,0.87,1.3,7.3,8.5,4.4,0.8,0.8,2.4,1.7,23.1,72,CHO,25000000,22826087,,,,,47826087
Jaylen Brown,BOS,SF,28,63,63,2158,8.6,18.7,0.463,1.9,6.0,0.324,6.7,12.7,0.529,0.515,4.1,5.4,0.764,1.4,4.8,6.1,4.8,1.2,0.3,2.7,2.6,23.3,11,BOS,53142264,57078728,61015192,64951656,,,236187840
Kobe Brown,LAC,PF,25,40,0,272,4.4,9.5,0.458,0.8,3.4,0.231,3.6,6.1,0.587,0.5,0.7,0.9,0.714,2.5,6.1,8.6,3.2,0.9,0.5,1.6,3.0,10.2,297,LAC,2654880,4792059,,,,,2654880
