Team,Rk,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Salaries,Space,Tax Bill,Total Tax Payroll + Bill,Active,Dead Estimated,PlayersActive,Avg AgeTeam,Total Cap Allocations,Cap Space All,Active.1,Active Top  3,Dead Cap
 ATL,1,E,SE,40,42,0.488,-1.13,114.74,115.74,-1.0,-1.41,114.78,116.05,-1.27,182383921,5511079,-,182383921,182383921,-,13,24.2,193262444,-38615444,182383921,106731367,-
 BKN,2,E,A,61,21,0.744,9.11,120.83,111.32,9.51,8.28,120.59,111.92,8.67,114423891,73471109,-,114423891,114323891,100000,14,23.2,134733990,19913010,114323891,79185322,100000
 BOS,3,E,A,26,56,0.317,-7.11,108.62,115.83,-7.21,-6.95,108.69,115.74,-7.04,197685215,-9790215,30396949,228082164,197685215,-,14,25.3,222376254,-67729254,197685215,135368714,-
 CHA,4,E,SE,19,63,0.232,-9.11,107.37,116.65,-9.28,-9.1,107.42,116.67,-9.25,176191763,11703237,-,176191763,176191763,-,18,25.3,182832805,-28185805,176191763,81933760,-
 CHI,5,E,C,39,43,0.476,-1.56,114.28,115.77,-1.49,-1.83,114.23,115.98,-1.75,149275854,38619146,-,149275854,149275854,-,16,25.0,180973997,-26326997,149275854,57561977,-
 CLE,6,E,C,64,18,0.78,9.54,121.88,112.34,9.54,8.81,121.73,112.91,8.82,226287886,-38392886,148995538,375283424,225863214,424672,13,26.7,244410298,-89763298,225863214,132234290,424672
 DAL,7,W,SW,39,43,0.476,-1.2,114.9,116.05,-1.15,-0.74,115.06,115.76,-0.71,204456894,-16561894,30962879,235419773,202248038,2208856,17,26.3,226405076,-71758076,202248038,107359119,2208856
 DEN,8,W,NW,50,32,0.61,3.89,119.97,116.2,3.77,3.97,120.03,116.18,3.85,188297059,-402059,1206177,189503236,188297059,-,14,26.5,206419471,-51772471,188297059,124460081,-
 DET,9,E,C,44,38,0.537,1.9,115.05,113.12,1.93,1.73,114.98,113.21,1.77,164440386,23454614,-,164440386,164440386,-,13,25.0,171640386,-16993386,164440386,89862938,-
 GSW,10,W,P,48,34,0.585,3.3,115.09,111.81,3.28,3.56,115.08,111.55,3.53,170506402,17388598,-,170506402,170506402,-,9,28.8,248481703,-93834703,170506402,139626124,-
 HOU,11,W,SW,52,30,0.634,4.51,115.23,110.89,4.34,4.96,115.37,110.57,4.79,194689412,-6794412,7071765,201761177,194689412,-,15,27.8,203378948,-48731948,194689412,113653563,-
 IND,12,E,C,50,32,0.61,2.23,116.67,114.36,2.3,1.68,116.58,114.83,1.75,181833485,6061515,-,181833485,181833485,-,15,25.4,190523021,-35876021,181833485,109203024,-
 LAC,13,W,P,50,32,0.61,4.66,115.2,110.43,4.77,4.84,115.03,110.1,4.93,194667024,-6772024,20587828,215254852,194667024,-,14,29.5,211087055,-56440055,194667024,115762693,-
 LAL,14,W,P,50,32,0.61,1.22,115.92,114.7,1.22,1.45,115.91,114.46,1.45,194820805,-6925805,21087616,215908421,194820805,-,18,26.4,213190997,-58543997,194820805,116886072,-
 MEM,15,W,SW,48,34,0.585,4.85,117.83,113.11,4.72,4.79,117.74,113.09,4.65,171507315,16387685,-,171507315,167343265,4164050,15,25.5,171507315,-16860315,167343265,96067590,4164050
 MIA,16,E,SE,37,45,0.451,0.56,113.61,113.07,0.54,0.11,113.5,113.41,0.09,189289248,-1394248,1394248,190683496,189289248,-,14,25.9,202819112,-48172112,189289248,96319835,-
 MIL,17,E,C,48,34,0.585,2.48,115.99,113.52,2.47,2.12,115.93,113.81,2.12,171786014,16108986,-,171786014,148602744,23183270,15,26.4,171786014,-17139014,148602744,101855306,23183270
 MIN,18,W,NW,49,33,0.598,5.0,116.72,111.53,5.19,5.15,116.62,111.29,5.32,200284703,-12389703,16360211,216644914,200284703,-,13,26.5,239428127,-84781127,200284703,111414710,-
 NOP,19,W,SW,21,61,0.256,-9.43,110.39,120.01,-9.62,-8.59,110.7,119.49,-8.78,183652233,4242767,-,183652233,183652233,-,15,24.4,205674109,-51027109,183652233,102095408,-
 NYK,20,E,A,51,31,0.622,4.1,118.42,114.34,4.09,3.59,118.37,114.79,3.59,204106498,-16211498,29736493,233842991,204106498,-,12,27.3,233580876,-78933876,204106498,127655231,-
 OKC,21,W,NW,68,14,0.829,12.87,120.33,107.61,12.72,12.7,120.16,107.61,12.56,186877564,1017436,-,186877564,186877564,-,16,24.8,193023046,-38376046,186877564,85055272,-
 ORL,22,E,SE,41,41,0.5,-0.12,109.46,109.54,-0.08,-0.7,109.11,109.77,-0.66,193471232,-5576232,5576232,199047464,193471232,-,14,24.7,200147090,-45500090,193471232,110387420,-
 PHI,23,E,A,24,58,0.293,-6.23,111.91,118.33,-6.42,-6.29,112.08,118.55,-6.46,185892518,2002482,-,185892518,185892518,-,14,26.6,205175826,-50528826,185892518,144849376,-
 PHX,24,W,P,36,46,0.439,-3.0,116.26,119.3,-3.04,-2.55,116.49,119.09,-2.6,188168668,-273668,821004,188989672,164971617,23197051,15,25.8,214244003,-59597003,164723837,107850873,23197051
 POR,25,W,NW,36,46,0.439,-2.98,111.95,114.75,-2.8,-2.66,111.84,114.33,-2.5,186375648,1519352,-,186375648,160556802,25818846,15,25.5,201458446,-46811446,160556802,78775001,25818846
 SAC,26,W,P,40,42,0.488,0.48,116.86,116.35,0.51,0.58,116.86,116.24,0.62,184758669,3136331,-,184758669,184758669,-,15,27.5,210944479,-56297479,184758669,114585660,-
 SAS,27,W,SW,34,48,0.415,-2.76,114.53,117.23,-2.71,-2.45,114.65,117.06,-2.41,179938561,7956439,-,179938561,179938561,-,14,25.5,186579603,-31932603,179938561,83096620,-
 TOR,28,E,A,30,52,0.366,-4.29,110.52,114.93,-4.41,-4.4,110.51,115.02,-4.51,190701713,-2806713,2806713,193508426,190701713,-,17,24.9,219236987,-64589987,190701713,109256988,-
 UTA,29,W,NW,17,65,0.207,-9.34,111.24,120.61,-9.37,-8.51,111.56,120.1,-8.54,152110751,35784249,-,152110751,141459190,10651561,16,25.3,156207739,-1560739,141459190,74988612,10651561
 WAS,30,E,SE,18,64,0.22,-12.44,106.79,119.12,-12.33,-12.13,106.99,119.01,-12.02,156088314,31806686,-,156088314,137704001,18384313,16,24.0,235168963,-80521963,137704001,77937962,18384313
